Symbol;Position;Type;Open time;Open price;Close time;Close price;Profit;Net profit
USDJPY;1034717773;Buy Limit;31.07.2023 09:09:44;142.003;31.07.2023 10:22:20;142.305;8.5;8.50
GBPJPY;1034717577;Buy Limit;31.07.2023 09:09:36;182.58;31.07.2023 09:40:40;182.905;9.13;9.13
EURJPY;1034717457;Buy Limit;31.07.2023 09:09:32;156.375;31.07.2023 09:31:08;156.625;7.03;7.03
GBPUSD;1033654945;Buy Stop;28.07.2023 14:19:04;1.28666;28.07.2023 15:02:18;1.28567;-3.97;-3.97
AUDJPY;1033295134;Sell;28.07.2023 08:43:25;92.792;28.07.2023 09:09:44;92.279;14.89;14.89
AUDJPY;1033284140;Sell Stop;28.07.2023 08:29:42;92.81;28.07.2023 08:33:22;92.977;-4.81;-4.81
CADJPY;1030543666;Sell;26.07.2023 14:26:21;106.166;26.07.2023 15:00:16;106.011;4.42;4.42
AUDJPY;1030542466;Sell;26.07.2023 14:25:41;94.638;26.07.2023 15:00:16;94.5;3.93;3.93
NZDUSD;1030544217;Sell;26.07.2023 14:26:50;0.62092;26.07.2023 15:00:16;0.62072;0.8;0.80
USDCAD;1030543552;Buy;26.07.2023 14:26:13;1.32184;26.07.2023 15:00:16;1.32321;4.13;4.13
GBPUSD;1030542427;Buy;26.07.2023 14:25:33;1.29069;26.07.2023 15:00:16;1.29076;0.28;0.28
EURUSD;1030140834;Buy Stop;26.07.2023 08:43:38;1.10654;26.07.2023 13:44:04;1.10668;0.56;0.56
EURJPY;1030133792;Sell Stop;26.07.2023 08:35:19;155.65;26.07.2023 09:05:02;155.753;-2.94;-2.94
USDCAD;1029163669;Buy;25.07.2023 12:41:28;1.31765;25.07.2023 15:09:40;1.31985;6.68;6.68
EURUSD;1029162244;Sell;25.07.2023 12:39:26;1.10451;25.07.2023 14:17:21;1.10534;-3.33;-3.33
EURJPY;1029162388;Sell Stop;25.07.2023 12:39:37;156.2;25.07.2023 13:09:37;156.3;-2.84;-2.84
GBPUSD;1028991306;Buy Stop;25.07.2023 10:00:15;1.28536;25.07.2023 11:17:11;1.2844;-3.85;-3.85
AUDJPY;1028836547;Buy Stop;25.07.2023 06:58:31;95.615;25.07.2023 09:41:16;95.614;-0.03;-0.03
